Source,Target
HILCTW,JONSWM-2
CALTRB,JONSWM-2
SMIEAE-5,JONSWM-2
MADASC-3,JONSWM-2
KIMBEA,JONSWM-2
MALSFC-2,MALTNO-14
GODSRW,MALTNO-14
MALNDI,MALTNO-14
MALPMM,MALTNO-14
HAZMAM-2,MALTNO-14
MALWIA-8,MALTNO-14
HAMTNP,MALTNO-14
CLETDI,MALTNO-14
VETMOM,MALTNO-14
MACMPF,MACOTP-14
COLCSB-2,MACOTP-14
HENFFA-5,MACOTP-14
MLLMCD,MACOTP-14
LUBLSB,MACOTP-14
CLACPF-2,MACOTP-14
WEHSEE,MACOTP-14
ALATEO-10,MACOTP-14
KARWWC-2,MACOTP-14
COLDCA-4,MACOTP-14
KARVCF,MACOTP-14
DZHTRO-3,MACOTP-14
LOORAU-2,MACOTP-14
HAHFOF,MACOTP-14
EASNMS,MACOTP-14
WAKGCV,MACOTP-14
KLIMOC,MACOTP-14
DESAIA,SANFRG
BERUMR,SANFRG
DOBTSA-4,SANFRG
VANAAC-10,SANFRG
MIJJUO,SANFRG
COENRA-2,SANFRG
TREAII-3,SANFRG
CHAACD-7,SANFRG
COGEOU,SANFRG
KNERGA,SANFRG
MUNTVO-2,SANFRG
WOOAWS,SANFRG
OIMCTT,SANFRG
HASRMS,SANFRG
PLARAR-5,SANFRG
OIMTRG,SANFRG
KNIAIA,SANFRG
VELTAD-3,SANFRG
HEITEO-30,SANFRG
WIETSF,SANFRG
DANTAA-8,SANFRG
DANTCA-12,SANFRG
LIUPCO,SANFRG
SANTEC,SANFRG
CAPDAN,SANFRG
UMBTAV,SANFRG
SANMCA-5,SANFRG
NOOCAM,SANFRG
NAGITU,SANFRG
FERRGD,SANFRG
ZEIODA,SANFRG
MARWIC-6,SANFRG
MOOEAR-5,SANFRG
KHODTC,SANFRG
RATLTL-2,SANFRG
COENRA,SANFRG
COETMA-3,SANFRG
COLCAM,SANFRG
REDIGA,SANFRG
FUNRAD,SANFRG
MAIWAS,SANFRG
PASVLA,SANFRG
BAUFRT-2,SANFRG
CONBIO-3,SANFRG
SESDOQ,SANFRG
MAAMLA,SANFRG
YAZRAR,SANFRG
SEGTFA-3,SANFRG
SARER-3,SANFRG
ROBIJF-2,SANFRG
MECHCI,SANFRG
MCCEEA-11,SANFRG
KORTMB,SANFRG
JONATD,SANFRG
HEDAAE-3,SANFRG
HASRMI,SANFRG
GIAWEC,SANFRG
DESRMH,SANFRG
KHAFPA,BERSPI-5
ATKDAC,BERSPI-5
KHARIP,BERSPI-5
KHAPAS,BERSPI-5
KHAQAP,BERSPI-5
KATCIF,BERSPI-5
SPINBN,BERSPI-5
BEREET-6,BERSPI-5
BERHTM-2,BERSPI-5
QPAIAP,BERSPI-5
SPINBN-2,BERSPI-5
BILIFO,BERSPI-5
GARIAU,JECTTO
GIAMAH-5,JECTTO
BLATPO-74,JECTTO
BLARAI-5,JECTTO
WARBHT,JECTTO
GREABA-6,JECTTO
LOHOIO,LAUISO-4
SHEITT-7,LAUISO-4
TROOAI-2,LAUISO-4
GUAROI,LAUISO-4
STACET-2,LAUISO-4
OREBES,LAUISO-4
FUHHCT,LAUISO-4
AHLPWA,LAUISO-4
LAUIAN,LAUISO-4
LITSOD,LAUISO-4
OKASOA,LAUISO-4
POLRIE,ROBFIA-3
RAIWSN,ROBFIA-3
ROBRIA-4,ROBFIA-3
OPEAPA,ROBFIA-3
ROBFCB,ROBFIA-3
ROBRIA-5,ROBFIA-3
DAOCFD,THOTAT-17
DORBCT,THOTAT-17
THOWBR-2,THOTAT-17
DAOTCP,THOTAT-17
DAOIAA,THOTAT-17
DAOSRA,THOTAT-17
DOROIO,THOTAT-17
DEBCAC-3,PRICAC-4
ARVMAA,PRICAC-4
PROINE,PRICAC-4
TRETIW,PRICAC-4
SIMIAA-2,PRICAC-4
EDWCAA,PRICAC-4
WEBLSA-5,PRICAC-4
ACOECA,PRICAC-4
TAMOTK,PRICAC-4
BRATCO-64,PRICAC-4
FERCYC-2,PRICAC-4
LINCI,PRICAC-4
CAICO,KOCOTS-2
ELGIAT,KOCOTS-2
MACCES-3,KOCOTS-2
DOHACE,KOCOTS-2
KOCC-5,KOCOTS-2
ROSN-5,WALNRA
SMIAOP-4,WALNRA
BOUTRO-29,WALNRA
SAHSMA,WALNRA
IFTEAR,WALNRA
FORRAV,WALNRA
YLERMB,WALNRA
SCHMTD-5,WALNRA
IFTALO,WALNRA
IFTEAR-2,WALNRA
GILDTD-3,WALNRA
NEIATT,SMIEAE-7
HOEECF,SMIEAE-7
LANPTA-5,SMIEAE-7
AZEEOP,SMIEAE-7
EGETEA,SMIEAE-7
OZEJTN,SMIEAE-7
RAJSAB-3,SMIEAE-7
LETPAC,SMIEAE-7
LEWRJR,SMIEAE-7
EMMRTE-2,SMIEAE-7
STEARI-5,SMIEAE-7
BUCPIP,SMIEAE-7
VILGCT,SMIEAE-7
GORTAP-5,SMIEAE-7
JOHPTF-4,SMIEAE-7
VILWGP,SMIEAE-7
FRICTC-2,SMIEAE-7
OTTRIP,SMIEAE-7
JACTAB-4,SMIEAE-7
VILICU,SMIEAE-7
KHANOE,HALTPO-88
CHEHEL-2,HALTPO-88
CHNFPS,HALTPO-88
JIAITA,HALTPO-88
BENELA-5,HALTPO-88
ZHAHCE,HALTPO-88
MANTBB,QUICAP-5
WILBTL-3,QUICAP-5
BECBPA-2,QUICAP-5
BYRWNR,QUICAP-5
GRECWP,QUICAP-5
CLATLS-4,QUICAP-5
NESPNM,QUICAP-5
CLABDR,QUICAP-5
HAFCIV,QUICAP-5
QUITBG,QUICAP-5
BARPSA-15,QUICAP-5
HAFAPI,QUICAP-5
NESNRO,QUICAP-5
PETSBO-3,CURSS-5
WILPAA-30,CURSS-5
KEMEAA,CURSS-5
SCHESA-12,CURSS-5
GASNOA,CURSS-5
SCHTPO-314,CURSS-5
COLIYL,THOAPT-4
EPSIBB,THOAPT-4
PRECTE-2,THOAPT-4
MORWIM-5,THOAPT-4
THOMDP,THOAPT-4
MCCMAA-5,THOAPT-4
EWUHDH-2,THOAPT-4
LIMDMR,THOAPT-4
KIMCMD,THOAPT-4
THOSEM,THOAPT-4
NEWMNA,THOAPT-4
DUDNMD,THOAPT-4
NOWAPR,THOAPT-4
EIJTPO-3,THOAPT-4
RUYCWM,LAUOPI-2
ROBRQM,LAUOPI-2
RIERQM-2,LAUOPI-2
ZALFTA,LAUOPI-2
OLDTRD,LAUOPI-2
DORWOF,LAUOPI-2
PIEQAR,LAUOPI-2
WESWFA,LAUOPI-2
HALJBO-2,LAUOPI-2
FAYBBA,LAUOPI-2
CALQRI,LAUOPI-2
MUCARQ,LAUOPI-2
LOMHDI,LAUOPI-2
MARTNO-51,LAUOPI-2
LAURQM,LAUOPI-2
DORWOF-2,LAUOPI-2
STABAT-12,WRIOEI
VANMII-2,WRIOEI
SHERTE-5,WRIOEI
FANDPA-3,WRIOEI
DREETA-2,WRIOEI
OLEMCP,WRIOEI
KOKADA,HENCDI-6
ATIACR,HENCDI-6
LIATIO-5,HENCDI-6
SIRPAD,HENCDI-6
PARTRB-2,HENCDI-6
STOSCA-6,HENCDI-6
BACCAP-2,HENCDI-6
PLAAIA-4,DANWMF
FRAUAA-4,DANWMF
NOHIOU,DANWMF
BLAACI-2,DANWMF
BARTUA-10,DANWMF
MUSCDA-4,DANWMF
MORMEM-5,ANDABD-2
MORTDL-8,ANDABD-2
RESARE,ANDABD-2
CHOOCH-2,ANDABD-2
NAGJAT,ANDABD-2
KAMPHM,ANDABD-2
ALZTDC,ANDABD-2
ALAETU,ANDABD-2
CHOOCH,ANDABD-2
GOMBDT,ANDABD-2
COLWCP-4,RITELA
JOHTDO-36,RITELA
KOCWIC,RITELA
KOCHWM,RITELA
NEUESC-2,RITELA
THOHSW-3,RITELA
RITEI,RITELA
NEUPEA,RITELA
PINIHA,RITELA
PLZAEA-2,PLZHTM
LEVEDO,PLZHTM
WRISMB,PLZHTM
ARVMAA,PLZHTM
PLZAEA,PLZHTM
BUSMMD,PLZHTM
BEETEC,PLZHTM
PLZERO,PLZHTM
COLTIO-38,PLZHTM
PIEDAC,PLZHTM
PLZAPA,PLZHTM
ZHAFMA-3,PLZHTM
DAVBON-2,PLZHTM
KROMDS,VARTCF-3
VARCDB,VARTCF-3
DAIROP,VARTCF-3
SCHPPB-2,VARTCF-3
SZAIES,VARTCF-3
VARTAP-2,VARTCF-3
DAIWMA,VARTCF-3
ONECIA-2,NICDIA-2
HOFTCT-3,NICDIA-2
TAEVCI,NICDIA-2
DANTCA-12,NICDIA-2
NICMUI-2,NICDIA-2
STRTAM-4,NICDIA-2
ARFEOS,NICDIA-2
BUIHRM,BUITIO-2
MRCPPT,BUITIO-2
BUICIA,BUITIO-2
BUIHTG,BUITIO-2
BUIMIQ,BUITIO-2
BUIAHN,BUITIO-2
BUIEAT,BUITIO-2
SCHGAI-6,BUITIO-2
BUILP-2,BUITIO-2
BUIOAA,BUITIO-2
FERNTL,BRARMP
EARAPP,BRARMP
MEIAFE,BRARMP
TIGDTR,BRARMP
MASWEA,BRARMP
BLUPAF,BRARMP
LOHRMP,BRARMP
LUPLMT,BRARMP
KRUSSI,BRARMP
PARSWB-2,BRARMP
CHOERA-5,BRARMP
NYHSAM,BRARMP
MITNEC-2,BRARMP
BRAAPF-4,BRARMP
TREPOD-2,BRARMP
FONHDT,BRARMP
PAVSIE-2,PAVPKF
WILA,PAVPKF
KEAEPK,PAVPKF
CARKAC-18,PAVPKF
LEVTPO-56,PAVPKF
