Source,Target
NYHMIL,BETCR
MLOCFA,BETCR
REUWIA,BETCR
MLOPAD,BETCR
KANNCA-3,BETCR
MILEPC,CONPAT-17
LAVAAT-6,CONPAT-17
KONETN,CONPAT-17
ESTOCA,CONPAT-17
KIVAEP,CONPAT-17
SKRPMA,CONPAT-17
CARNSB,CONPAT-17
SKRRAO,CONPAT-17
OLITSD-2,CONPAT-17
GAREAS-6,CONPAT-17
CONTNN,CONPAT-17
DESTEF,LOWARE
TAMTYC,LOWARE
BIRLWE,LOWARE
MAZOTE,LOWARE
LEITCO-4,LOWARE
GEIBOU,LOWARE
INNMTB,LOWARE
WILAAF-13,LOWARE
CARRTB-6,LOWARE
HAWCFA,BRYPIN
DANTPC-3,BRYPIN
GUNTOQ,BRYPIN
NOOCAM,BRYPIN
SURSOI-2,BRYPIN
FRAUAA-4,BRYPIN
FRAETA-5,BRYPIN
MAMMRS,BRYPIN
DANMUA-2,BRYPIN
LOHSRA,BRYPIN
MLLDAI-4,BRYPIN
MAMHNR,BRYPIN
MLLBII-4,BRYPIN
DANTAA-8,BRYPIN
DANTCA-12,BRYPIN
CONURI,BRYPIN
MLLIIT,BRYPIN
FROSMR,BRYPIN
DEAAIR,BRYPIN
GUNDWI,BRYPIN
FORMMM,BRYPIN
EVAEDM,BRYPIN
DANAFT-2,BRYPIN
HAWTME,BRYPIN
RYAIAW,BRYPIN
TOLMEO,BRYPIN
DANWRI,BRYPIN
COLCAM,BRYPIN
HILTPO-38,BRYPIN
SAUALE,BRYPIN
HARTMC-8,BRYPIN
MCSEAS,BRYPIN
NYHCAR,BRYPIN
DANDDA-3,BRYPIN
HADPPO,BRYPIN
EVATIO-13,BRYPIN
MAMSCL,BRYPIN
SISANP-2,BRYPIN
SMIDEB,BRYPIN
TIGSRT,BRYPIN
CHOWWW,BRYPIN
DAZNPL,BRYPIN
HERTRT-3,BRYPIN
MORWIT-13,BRYPIN
TIGTAA,BRYPIN
ATHTPA,CROMEI-5
NEITLI,CROMEI-5
DAHSOI,CROMEI-5
DUNTHO-10,CROMEI-5
PULETM,CROMEI-5
SANAMS-2,CROMEI-5
JEOITA,CROMEI-5
HENSIO-2,CROMEI-5
KOTEFC,CROMEI-5
KOTMEA,CROMEI-5
CRAVVO,CROMEI-5
BATEFI-2,CROMEI-5
KOTOTP-2,CROMEI-5
SUBLCA-2,GUNDWI
BIOTSO,GUNDWI
MUSCWD,GUNDWI
ZIETPO-7,GUNDWI
LINPAT-11,GUNDWI
GORMSA-6,GUNDWI
LOLTOT,GUNDWI
GARFVS,BRARII-3
SCHRTS-11,BRARII-3
KOKRID,BRARII-3
SCHTIT-25,BRARII-3
OMTTAV,BRARII-3
BRAFFD,BRARII-3
STAORT-3,BRARII-3
KOWDF,BRARII-3
VONTIT-2,BRARII-3
MEMRIA,BRARII-3
HUEAIA,BRARII-3
ANDSAR-9,CHEBTQ
ALLWII-5,CHEBTQ
CHESD-6,CHEBTQ
CHETAA-8,CHEBTQ
CHETCV,CHEBTQ
VERAOS-5,CHEBTQ
LAUSEP-2,WINEAC-3
MITSEK,WINEAC-3
VILBCC-2,WINEAC-3
RADEMR,WINEAC-3
VILBCC,WINEAC-3
PEABOU-3,WINEAC-3
SAIBCA-2,WINEAC-3
PAETCO-2,WINEAC-3
RUSCEA,DURCSI-2
BOGTDO-4,DURCSI-2
ALVCSA-3,DURCSI-2
DURWIA-3,DURCSI-2
HORSES-2,DURCSI-2
BOGCSM,DURCSI-2
DURWIA-2,DURCSI-2
DURGFT,DURCSI-2
DURCDL-2,DURCSI-2
ANGTSR-2,DURCSI-2
PEZATX,DURCSI-2
LEHSDI,DURCSI-2
DEMAPO-3,DURCSI-2
WILTEU,DURCSI-2
MISTAR,DURCSI-2
DURAFF,DURCSI-2
ANGFCT,DURCSI-2
DURCSA-6,DURCSI-2
DEMAPO-2,DURCSI-2
VALPVS,DURCSI-2
SCHDDA-11,DURCSI-2
SCHDDA-9,DURCSI-2
DURAFF-4,DURCSI-2
BOLETV,BERVBC
SINOTA-2,BERVBC
SINQBE,BERVBC
SINWOT,BERVBC
BEAIAT-6,BERVBC
BERBAT-18,BERVBC
FRMTFI,BERVBC
MOTMDA-2,BERVBC
CRUTEC-2,BERICP-3
ROTESA-4,BERICP-3
BAUCCO,BERICP-3
MORTSM-4,BERICP-3
KAUBSA,BERICP-3
BERWOI-2,BERICP-3
CRUPES,BERICP-3
CRUTWO,BERICP-3
SIKTRT,BERICP-3
VANWAC,BERICP-3
POPCC-3,BERICP-3
CHEUAO,TEIHIS
CUDCDA,TEIHIS
BUIEAF,TEIHIS
BUICIA,TEIHIS
JACSNP,TEIHIS
FALGAP,TEIHIS
BUILP-2,TEIHIS
HALCTH-2,TEIHIS
POOOTM,TEIHIS
TEIHTB,TEIHIS
BUIWCT,TEIHIS
BUITWJ,TEIHIS
VERTCT-8,AYDLOT-2
SPITRA-4,AYDLOT-2
CAMPAI-9,AYDLOT-2
DEAOPD-5,AYDLOT-2
DRAMAT-2,AYDLOT-2
STETVF,AYDLOT-2
RAMMCB,AYDLOT-2
TILRJI,AYDLOT-2
AYDCIA-2,AYDLOT-2
SPINQA,AYDLOT-2
VACEDR,AYDLOT-2
KRETRT-3,AYDLOT-2
LANTAN-2,AYDLOT-2
LANC-26,AYDLOT-2
LANEI-2,AYDLOT-2
CANLEY-4,AYDLOT-2
PLATEO-13,AYDLOT-2
PETCSR-4,AYDLOT-2
HAMTCO-35,AYDLOT-2
GLOPAI-2,AYDLOT-2
FOSATP,AYDLOT-2
SALTOW-2,AYDLOT-2
STAUTO,AYDLOT-2
HUNEHT,AYDLOT-2
MORPRM-2,AYDLOT-2
YINEEE,HESASL
STATTO-30,HESASL
MARAMR-4,HESASL
HARTMC-8,HESASL
HERTB,HESASL
HOWSES,HESASL
LIMIOO,HESASL
POLEIO,HESASL
HOWMOE-2,HESASL
GREASF-4,HESASL
CLATDO-27,HESASL
CLATEE-2,HESASL
AYOPEA,HESASL
SUPASO-2,HESASL
YORCAE,HESASL
HESTEE,HESASL
RODEVD,HESASL
HITFFI,HESASL
KIMLIO-2,HESASL
COPPDA-2,HESASL
NIKFET,HESASL
NGUCAT,HESASL
FOROEB-2,HESASL
LAWEIT,HESASL
HESASR,HESASL
CIMCFE,HESASL
RUIDWT,LUDLGO
KHANKC,LUDLGO
PAPNKT,LUDLGO
BOYDCV,LUDLGO
DAVSP-7,LUDLGO
WILWKI,LUDLGO
WILKPA-8,LUDLGO
CRATAT-11,LUDLGO
ARIEAF,LUDLGO
MATCKT,LUDLGO
LUDEWO,LUDLGO
LUDPOE,LUDLGO
LUDRTA,LUDLGO
VISGG,LUDLGO
REYHTI,LUDLGO
JOSHOF,LUDLGO
TOOVAA,LUDLGO
UMEDWT,LUDLGO
VALAAT-5,LUDLGO
CONANK,LUDLGO
LUDFNT-2,LUDLGO
BRIHTP,LUDLGO
LAMTPA-7,MART-3
MERPAA-4,MART-3
DJA-6,MART-3
PICTSA,MART-3
DJASAU,MART-3
DIDD,MART-3
DIDFTA,MART-3
ARVTSH,MART-3
BENPDA-3,MART-3
ZINSTI-3,MART-3
TALPR-2,MART-3
HUNMAF-3,MART-3
CANEBP,MART-3
MACANV,MART-3
HOETAT-4,MART-3
TALT-2,MART-3
GILBMO,MART-3
TALEPA,MART-3
SOLTTT,MART-3
WASTPO-3,MART-3
HAZMAM-2,MART-3
KAHHAA,MART-3
MARFNA,MART-3
MERFPA-2,MART-3
BANITC,MART-3
MERPQA,MART-3
TALAEI-2,MART-3
FISPOT-3,MART-3
WASTPO-11,MART-3
TALTNA-3,MART-3
MERATO-5,MART-3
LAWEAT-4,MART-3
CHIPNA,MART-3
AMIECF,MART-3
WALIIT-4,MART-3
NORTRP-3,MART-3
CAMTMO-19,MART-3
YTHQAA,MART-3
CASADR-2,MART-3
KOY_DI,MART-3
DYKTTS-2,MART-3
TALPTA,MART-3
CAMIAF,MART-3
THBSOA,MART-3
BAITPO-38,MART-3
NORTRP,MART-3
HEAOWW,MART-3
SOLTT-3,MART-3
REIDED-13,CARPAA-21
RAZFST,CARPAA-21
WILTAA-34,CARPAA-21
BOLAAT-7,CARPAA-21
CTACAT,CARPAA-21
DEBEFC,CARPAA-21
CARWAM-3,CARPAA-21
DOBTSA-4,VANEVI-4
BUITFA,VANEVI-4
BUIEOA,VANEVI-4
FRAETA-5,VANEVI-4
UGARRW,VANEVI-4
RUSCEA,VANEVI-4
TENWDI,VANEVI-4
FEREOT-6,VANEVI-4
ALFCAB,VANEVI-4
VELTAD-3,VANEVI-4
BICCAF-2,VANEVI-4
TOLRGA,VANEVI-4
UMBTRO,VANEVI-4
NICTIM-4,VANEVI-4
CAPBTC-3,VANEVI-4
MKAEAO-2,VANEVI-4
POPHGA,VANEVI-4
UMBTAV,VANEVI-4
DURDSE,VANEVI-4
UMBRWA,VANEVI-4
UMBECV,VANEVI-4
KLEEOG,VANEVI-4
KERTAI-5,VANEVI-4
BISMTS,VANEVI-4
MKAEAO,VANEVI-4
DURWIA-3,VANEVI-4
HENPAT-11,VANEVI-4
VIABTD,VANEVI-4
FEREOA-4,VANEVI-4
MYKPII,VANEVI-4
LAFTCA,VANEVI-4
RATEML,VANEVI-4
MARCSI-6,VANEVI-4
REDIGA,VANEVI-4
FIGDSV-2,VANEVI-4
VANDFV-6,VANEVI-4
MKATST-2,VANEVI-4
GRAAAM-6,VANEVI-4
VELICE,VANEVI-4
ZGEAFT,VANEVI-4
FERDPO-2,VANEVI-4
POZAOR,VANEVI-4
BOREAI-5,VANEVI-4
KUDASS,VANEVI-4
JENSFA-4,VANEVI-4
JEDECI-2,VANEVI-4
BILISO,VANEVI-4
MENELA,QUABCO
RIZEIO,QUABCO
SOSSPC-2,QUABCO
ZHAHCE,QUABCO
ADEBEI,QUABCO
XULOS,QUABCO
LEESTS-5,QUABCO
CARBAB-6,CARRTK-4
CARCAO-2,CARRTK-4
FEIHHC,CARRTK-4
JOHASA-13,CARRTK-4
CARPEA-9,CARRTK-4
FOLFOT,CARRTK-4
CARPPF-4,CARRTK-4
VICTPO,SCHOJN
SCHMTO-13,SCHOJN
SPEHII-2,SCHOJN
PITDMJ,SCHOJN
BRIIDO-11,SCHOJN
STETMJ-3,SCHOJN
STETMJ-2,SCHOJN
SCHCSA-41,SCHOJN
GAGBCA,MUCTIO-2
DUSWHD,MUCTIO-2
PORBIT,MUCTIO-2
PARPBA-2,MUCTIO-2
DUSTHA,MUCTIO-2
ZIEHIE,MUCTIO-2
WAKHAA,MUCTIO-2
GARWFT,ISAWCO-2
KITEPV,ISAWCO-2
NEUESC-3,ISAWCO-2
KAZLIU,ISAWCO-2
BENCSF-3,ISAWCO-2
LANCRI-3,ISAWCO-2
KOCTAE-2,ISAWCO-2
PATCEF-5,ISAWCO-2
GIBCEA-4,ISAWCO-2
WESDCE-2,ISAWCO-2
HENCEA-4,ISAWCO-2
MAMREE-2,ISAWCO-2
HUEDYV,ISAWCO-2
HINCEA-3,ISAWCO-2
KNIICT,BAAICT
OBSMRI,BAAICT
BELCEW-2,BAAICT
FUMARM,BAAICT
DAVIRT-3,BAAICT
BELCEW,BAAICT
GARICD-6,BAAICT
CAMJMP,BAAICT
LETPRP,FINLWT
MILSM-11,FINLWT
LETPAC,FINLWT
RAMTTO-9,FINLWT
METMPE,FINLWT
GENCSS,FINLWT
MILSMA-2,FINLWT
HOGIEO-2,STBCFD
TULCAO,STBCFD
WURHGA,STBCFD
GARBEC-2,STBCFD
EMUARA,STBCFD
ROYECI,STBCFD
SMICCE-2,STBCFD
SULSSI,KNSUCP
GROTER-2,KNSUCP
SULDMM,KNSUCP
JEBUCC,KNSUCP
SPECUI,KNSUCP
BUCPAE-3,KNSUCP
EVAHAW,CRUGIT
WALOHO,CRUGIT
CRUCOP,CRUGIT
LANFEM,CRUGIT
VINBTS,CRUGIT
LANVOE-2,CRUGIT
YANAUC-2,CRUGIT
LANVOE,CRUGIT
CEVADA,CRUGIT
MEDSVG,CRUGIT
COREOC-2,CRUGIT
YANHVA,CRUGIT
VIGDOR,CRUGIT
KUOCEA,CRUGIT
DETMUA,CRUGIT
COGPAU,CRUGIT
BERDLG,CRUGIT
RUTOST,DANRE
BRUTEI-2,DANRE
MODRCI,DANRE
IANQE,DANRE
BRATCO-47,DANRE
HUIEA,DANRE
CAPTOH,DANRE
ALLAWD,DANRE
GILJAF,DANRE
SVODRN-2,DANRE
VANIDO-10,DANRE
LISPT,DANRE
PERPMR,DANRE
GAREIH,DANRE
LUTALP,DANRE
SCHRJM,DANRE
LISWTD,DANRE
SWAPFW,DANRE
QUETEO-3,DANRE
CLAOAI,DANRE
SNITNO-3,DANRE
LARMSO,DANRE
BARGPO-2,DANRE
ANDITA-6,DANRE
VALSSJ,DANRE
BRARCA-7,DANRE
LINWGH,DANRE
VALBVE,DANRE
KELIRE,DANRE
VALJWA-2,DANRE
BAUREA-2,DANRE
SAMTMS-2,DANRE
BRUCRF-2,DANRE
MARMCA-8,DANRE
SUII,DANRE
ECKTEM,DANRE
BRUREW,DANRE
SCHETT,DANRE
GARUAC,DANRE
NICWRE,DANRE
FLATRM,DANRE
PADTMO-3,DANRE
MCDMHP,DANRE
JAKHCW,DANRE
LAMIAR,DANRE
WILTRO-38,DANRE
LATPTV,DANRE
DANTRO,DANRE
BLSAEA-2,DANRE
CHUKAT-2,DANRE
MANW-2,MANDN-2
DEVTPM-3,MANDN-2
MANDP-2,MANDN-2
CARTDO-59,MANDN-2
MANIAA-2,MANDN-2
MANBM-2,MANDN-2
SKEDQA,MANDN-2
HOLTOO-12,MANDN-2
JACWEA,SINPET-3
STEE-5,SINPET-3
THONOI,SINPET-3
MOSGCO-4,SINPET-3
MAROTE-11,SINPET-3
NETRSA,SINPET-3
SINDPO,SINPET-3
SINHTB,SINPET-3
TSAELI,BADMTB
ULLUTD,BADMTB
EWEDGB,BADMTB
KUNEFA,BADMTB
TSAEML,BADMTB
SOTJDA,BADMTB
LEEEOO,BADMTB
WANNAF-2,BADMTB
ITAHTP,BADMTB
COREMA-3,WALEEA-6
WALTSO-69,WALEEA-6
VINTMO-10,WALEEA-6
MALTEO-30,WALEEA-6
CAROEN,WALEEA-6
SPIHE-2,WALEEA-6
DITATI,WALEEA-6
MICCAT-12,WALEEA-6
BOVOTN,WALEEA-6
GREAGD-3,DOUGEI-2
TRARTD,DOUGEI-2
ALECEE,DOUGEI-2
BATAIA-5,DOUGEI-2
URAMTG,DOUGEI-2
BATRHA,DOUGEI-2
MCMRAR-3,DOUGEI-2
LLOBTW,DOUGEI-2
WINTMB-2,DOUGEI-2
DOUWTA,DOUGEI-2
ALECEE-2,DOUGEI-2
CRUTDT,DOUGEI-2
WASPRF,DOUGEI-2
RULEGE,DOUGEI-2
WASWAT-2,DOUGEI-2
DEMHGE,DOUGEI-2
KALIAB-2,MOLA
ROSICD-9,MOLA
AGUBST,MOLA
PINOVE,MOLA
STOAED-2,MOLA
FIEAOA,MOLA
TAYAPA-8,MOLA
CHEAFA,MOLA
LUKVKA,MOLA
YOSEGF,MOLA
PAGPEA,MOLA
STOCPA-3,MOLA
SCHPCA-5,MOLA
BIGPAI,MOLA
PERIOI-3,MOLA
TELSTP-2,MOLA
KRKDAP,MOLA
CHOMII,MOLA
KALAAD,MOLA
MCLRWD,MOLA
GORCEA-3,MOLA
PANTEO-14,MOLA
AGUMN,MOLA
KINATB,MOLA
LIAIIA,MOLA
STULOA,MOLA
ECHITW,MOLA
-12086,MOLA
TSOTEN,MOLA
SMIIMM-4,MOLA
KOTMIT,MOLA
CUCAAA,MOLA
GURMTG,MOLA
VERI-32,MOLA
BERIDI-3,MOLA
STEATO-13,MOLA
DASORA,MOLA
VILIBA,MOLA
PERCPC-2,MOLA
BREHEO-2,MOLA
FRIFNA,SULVIS
NOVTHE,SULVIS
ARITEO-10,SULVIS
LAREVA,SULVIS
PIOEHE-2,SULVIS
STEFAT-7,SULVIS
SULANF,SULVIS
KLETWA-4,SULVIS
LEEPRA-3,SULVIS
MEYEVP-2,SULVIS
NURTRO-3,SULVIS
HANRSM-3,SULVIS
BAGITE,SULVIS
LEEPRA-4,SULVIS
LORFNA,SULVIS
BOGCTP-2,KIREAP-2
KERAMS,KIREAP-2
MIKTOB,KIREAP-2
VEILMA,KIREAP-2
LEERPI,KIREAP-2
WOOCAC-8,KIREAP-2
BURBPP,KIREAP-2
ANDTMI-2,KIREAP-2
SIMMOW,KIREAP-2
FACAGM,KIREAP-2
WIEETC,KIREAP-2
VANAUE,KIREAP-2
FACIRE,KIREAP-2
CONRWE,KIREAP-2
SEGSCR-4,KIREAP-2
SEGSCR-2,KIREAP-2
KIRHTD,KIREAP-2
KORCEU,KIREAP-2
KIRANB,KIREAP-2
LHRCEP,KIREAP-2
DJEFLT,KIREAP-2
VANMPE-2,KIREAP-2
RATCTP,KIREAP-2
SEGSCR-3,KIREAP-2
ROLRRS,KIREAP-2
VANTEV-4,KIREAP-2
RAMMIB,KIREAP-2
DOGI,KIREAP-2
KERANM,KIREAP-2
ROBALT-3,KIREAP-2
BRUTEN,KIREAP-2
ROLPQN,KIREAP-2
ROLBFA-3,KIREAP-2
LEEMOS,KIREAP-2
MOEWNO,AUGITA
BORSUO,AUGITA
HUIACF,AUGITA
FAIDYD,AUGITA
STRADM,AUGITA
HOCPH,AUGITA
MAREAP-19,AUGITA
SINMPI,AUGITA
RAHGDM,AUGITA
FOWIWW,AUGITA
FISQEF,AUGITA
CORTAT-11,AUGITA
BAUDMH,AUGITA
PFLEAI,MAAMLA
VELTAD-3,MAAMLA
MAAANC,MAAMLA
LINDAA-2,MAAMLA
PALATI-3,MAAMLA
VANDFV-6,MAAMLA
HHNSTB,MAAMLA
MARHDA-7,MAAMLA
THOFAE-4,MOREAA-18
WHIAMT-2,MOREAA-18
BLAEGO,MOREAA-18
SADCOR,MOREAA-18
ANDETA-7,MOREAA-18
NEMTPA-2,MOREAA-18
LIEBIW,MOREAA-18
CASANU,MOREAA-18
STEAEA-6,MOREAA-18
FOSOTE-2,MOREAA-18
MKATST-2,MOREAA-18
PAPTLO-6,MOREAA-18
BUHDLM,MOREAA-18
MOROAE-2,MOREAA-18
CURAAS-4,MOREAA-18
IBEOAE,MOREAA-18
WRSBEO,MOREAA-18
FOSAIA-2,MOREAA-18
ARBIEI,MOREAA-18
BECACO-11,MOREAA-18
MKAEAO-2,MOREAA-18
CURSSA,MOREAA-18
MARAMR-4,BAGCEI
HIGSEA,BAGCEI
WATAET-4,BAGCEI
INGTCO-13,BAGCEI
BRAHCE,BAGCEI
GUJAVI,BAGCEI
BRAUOS-5,BAGCEI
TODAMC,BAGCEI
MARTCF,BAGCEI
LANIAO,BAGCEI
MCINCE,BAGCEI
MCICEI,BAGCEI
MULROI-2,BAGCEI
MACETE-2,BAGCEI
BONMCE,BAGCEI
BAGMMA-2,BAGCEI
RODFDO,BAGCEI
BARNRV,BAGCEI
ALLARF,BAGCEI
BARAAS-15,BAGCEI
HJOAAA,RHOEIA-3
MCGTMP-2,RHOEIA-3
STETIO-59,RHOEIA-3
PRETTF,RHOEIA-3
COLMLI-3,RHOEIA-3
PULFEA,RHOEIA-3
BABAUI,HARICE-4
HARSCE-2,HARICE-4
MECBAC,HARICE-4
GUJAVI,HARICE-4
TODAMC,HARICE-4
MARTCF,HARICE-4
HARSCE,HARICE-4
HARICE-5,HARICE-4
BAGCEI,HARICE-4
FICLAA,HARICE-4
MCICEI,HARICE-4
MULROI-2,HARICE-4
MUMEEE,HARICE-4
MACETE-2,HARICE-4
JOHTEO-25,HARICE-4
PAITET-2,HARICE-4
BAGMMA-2,HARICE-4
OKEPEA,HARICE-4
ALLARF,HARICE-4
SIRTSI,HARICE-4
THOMED-2,HARICE-4
IVEDDC,HUXMFS
PAHEDO,HUXMFS
CHAAEE-2,HUXMFS
LEBATE,HUXMFS
WANTVO-3,HUXMFS
PERCOA-4,HUXMFS
SHECAD-4,HUXMFS
PERREE-2,HUXMFS
MOLTEI-6,HUXMFS
WANAOO-2,HUXMFS
PARIDO-10,HUXMFS
IVEISA,HUXMFS
GARWFT,PODIAN
SCHFTC-11,PODIAN
PODDCT,PODIAN
PODCCE,PODIAN
QUECEA,PODIAN
ISAWCO-2,PODIAN
ISAPCE,PODIAN
MARAVP-5,PODIAN
ISAWCO-4,PODIAN
LUNUOS,PODIAN
LHRLIA,PODIAN
TADTDO-2,FLOTEO-11
TADISE,FLOTEO-11
FLOTLN,FLOTEO-11
TADOTR,FLOTEO-11
FLOTAT-2,FLOTEO-11
FLOHTE-2,FLOTEO-11
TADTLO,FLOTEO-11
PAGTRO-2,FLOTEO-11
TADTSB,FLOTEO-11
TADDBN,FLOTEO-11
TADCCA-2,FLOTEO-11
LAUTDI,EMAEIF
CHECSA-8,EMAEIF
ORDETI,EMAEIF
ESMCSO,EMAEIF
MORRTR-8,EMAEIF
DANEIL-2,EMAEIF
NORCPO-4,SCHCDT-4
RODTDT-2,SCHCDT-4
BORTTO-17,SCHCDT-4
SUNTTD-2,SCHCDT-4
BARPBD-2,SCHCDT-4
DELATL-3,SCHCDT-4
DIEBAB-4,SCHCDT-4
CARHAE-3,RUZQG
RUZCRS,RUZQG
SCHMTO-14,RUZQG
MANMGW,RUZQG
BARTDA-10,RUZQG
BEREOR,RUZQG
CATGFA-2,RUZQG
BAIOGA,RUZQG
BERCAT-18,RUZQG
BARITP-2,RUZQG
BERWFG,RUZQG
GOLSE,RUZQG
EDGHSP,RUZQG
HNEEUM,RUZQG
GOL-5,RUZQG
RYATDW,RUZQG
HNEEDI,RUZQG
CASPVT-2,RUZQG
CHOTCI-4,RUZQG
FILHBI,SKLPOS
NORAEA-3,SKLPOS
DOND-4,SKLPOS
SHEQFO,SKLPOS
ARDBMF,SKLPOS
KASOQN,SKLPOS
DUEPID,SKLPOS
DRRTMO,SKLPOS
KASAPB,SKLPOS
CARDHA-7,JOHHAF-3
PITEHP,JOHHAF-3
KLOHFT,JOHHAF-3
FOLTHP,JOHHAF-3
CARCAO-2,JOHHAF-3
FOLTHP-2,JOHHAF-3
JOHASA-13,JOHHAF-3
FOLFOT,JOHHAF-3
MICGEI-4,CONWIW
FINEOA-4,CONWIW
MONDOT-7,CONWIW
HORIEA-4,CONWIW
WINIBB,CONWIW
WINIBB-2,CONWIW
TOMRTB,CONWIW
DONTEO-17,CONWIW
BURTEA-11,CONWIW
NAGUCO,CONWIW
MICGEI-5,CONWIW
NIKFET,CONWIW
TORDTT-2,CONWIW
JAGIIT-3,CONWIW
ISSDAD,VONSCT-2
FORAAE-2,VONSCT-2
HALMLA-5,VONSCT-2
VONPAS-6,VONSCT-2
CHOTNO-4,VONSCT-2
KIKATD,VONSCT-2
SMIIIE-3,ICHYOT
WILEQA-3,ICHYOT
WAREPA-6,ICHYOT
SCHKAI-4,ICHYOT
VONMES,ICHYOT
STASII-6,ICHYOT
GLEWIT,ICHYOT
LWECAA,JASA-3
JASFUD-2,JASA-3
VETPPA,JASA-3
LWEKAC,JASA-3
VETAAT,JASA-3
KEAEPK,JASA-3
HEEFAS,JASA-3
ROSCAO-5,JASA-3
COOAFA-2,JASA-3
MANCAA-6,JASA-3
LWEAIP,JASA-3
LWEPID,JASA-3
MELOBA-2,JASA-3
CARCDA-10,JASA-3
DEHCMA-3,JASA-3
KIKATD,JASA-3
PIOSCA-2,JASA-3
JASTAT,JASA-3
MAYAAD-3,JASA-3
KEAAMA,JASA-3
DAVRMA-5,JASA-3
BLOTRA,JASA-3
LWEAUA-5,JASA-3
VETFRN,JASA-3
LOEADR,JASA-3
HEEAC,JASA-3
ROMYO,JASA-3
STOGAA-3,JASA-3
LANETH,JASA-3
LANEFA-3,JASA-3
HEETIF,JASA-3
HUGCFM,PUGEAB
DEKMAO,PUGEAB
ENZWDO,PUGEAB
FLEPAA-4,PUGEAB
DEKMAO-2,PUGEAB
JASA-3,WILA
BOYPSF,WILA
FRIAAO-11,WILA
METTPO-14,WILA
LWEKAC,WILA
CONTAC-3,WILA
STIA,WILA
ZTRTCO,WILA
JINDUS,WILA
LOMCPH,WILA
TANODC,WILA
COTGTA,WILA
FERA,WILA
BLUDAL,WILA
OMATEV,WILA
WIECPA,WILA
SCHDMI-21,WILA
POLCYP,WILA
SHEAAI-11,WILA
KUBAO-3,WHIARA-5
KUBAPA,WHIARA-5
WILTDO-54,WHIARA-5
FRIWFI-2,WHIARA-5
GONDPE-5,WHIARA-5
WHIHEI,WHIARA-5
FRIUAE-2,WHIARA-5
HOWFFF,WHIARA-5
KRIAFA-4,WHIARA-5
KINRNA-2,WHIARA-5
WHIAAA-7,WHIARA-5
CROACA-4,WHIARA-5
ALFEMP,ROMPOS-2
REIPED-2,ROMPOS-2
TOKTUT-2,ROMPOS-2
TOKLAG,ROMPOS-2
MATWRI-2,ROMPOS-2
VENPWB,ROMPOS-2
SMIGUO,ROMPOS-2
FEEDQE,ROMPOS-2
HOLTND,ROMPOS-2
CONITA-5,ROMPOS-2
PEDSST-2,ROMPOS-2
LAVWAC,ROMPOS-2
MOHHFM,ROMPOS-2
CANTAC-5,ROMPOS-2
RABWMR,ROMPOS-2
DECOAT,ROMPOS-2
DONCPM,ROMPOS-2
MATANC,ROMPOS-2
FELTDO-11,ROMPOS-2
MATWRI-3,ROMPOS-2
TANNAC-2,ROMPOS-2
ESPAAD-3,ROMPOS-2
TRPAMG,ROMPOS-2
KAPTSD-2,ROMPOS-2
KLIITI-2,ROMPOS-2
MATKOR-2,ROMPOS-2
WILEIA-7,ROMPOS-2
WALWSR-2,ROMPOS-2
HENDTT,ROMPOS-2
ROMSST,ROMPOS-2
ALFEMP-2,ROMPOS-2
FLEHNT-2,ROMPOS-2
ROMSST-2,ROMPOS-2
DACEID,ROMPOS-2
FLOOTB-2,FLOTEO-13
DEVTNO-5,FLOTEO-13
SIBETR,FLOTEO-13
MUNTFT-2,FLOTEO-13
SONDIT,FLOTEO-13
MCCERF,FLOTEO-13
HUAIIT-2,FLOTEO-13
MKATUA,FLOTEO-13
KANATE-2,FLOTEO-13
HALSAS-12,ANDTSO-25
VANMQA-3,ANDTSO-25
CAMCOB,ANDTSO-25
LASCPA,ANDTSO-25
ANDQAS,ANDTSO-25
ANDSOC-2,ANDTSO-25
PISPAC-2,ANDTSO-25
NEWTAD-2,ANDTSO-25
PIIAMH,PALRAT
LORPIA-2,PALRAT
TRNQAM,PALRAT
LUDOOA-2,PALRAT
EDWCDA,PALRAT
LUDSOR,PALRAT
PIROIS,PALRAT
CHATAB-7,PALRAT
LUDEWO,PALRAT
SIVTSO-3,PALRAT
KRATRO-29,PALRAT
KRESLO,PALRAT
CHABIB,PALRAT
GLASBE,PALRAT
VIDTUE,PALRAT
MAKEDK,PALRAT
ZEMTCO-4,PALRAT
LAUCAA-4,PALRAT
SIVWTB,PALRAT
KRESLO-2,PALRAT
BORAGF-2,PALRAT
PANTAA-2,ANTTRO-12
ANTWEA,ANTTRO-12
MCINCE,ANTTRO-12
RABAOJ,ANTTRO-12
HOPWCM,ANTTRO-12
PARPOB,ANTTRO-12
ANTPIP,ANTTRO-12
PANTRP-3,ANTTRO-12
VALERI-3,ANTTRO-12
STAGUF-2,LEVDYO
LEVAIA-8,LEVDYO
MUNCTA,LEVDYO
PONEHI-2,LEVDYO
HARIVS-5,LEVDYO
HARMCM-4,LEVDYO
PORMTI-2,LEVDYO
MUNCTE,LEVDYO
HARAOY,LEVDYO
SAIEVS,LEVDYO
VANTSI-14,LEVDYO
WOOWWW-5,LEVDYO
MUNCTC,LEVDYO
BROOTO-6,LEVDYO
BRODTE-5,LEVDYO
BONAIA-2,LEVDYO
HAYTAE,LEVDYO
TSASWW,LEVDYO
BASCIS-2,LEVDYO
PACEAL,SALWAH
